,Mkt-RF,SMB,HML,RMW,CMA,RF
20181112,-2.06,0.1,0.84,0.54,0.88,0.008
20181113,-0.13,-0.05,0.16,0.21,-0.3,0.008
20181114,-0.77,0.03,-0.29,0.59,0.1,0.008
20181115,1.18,0.31,-0.4,-0.84,-0.71,0.008
20181116,0.15,-0.02,-0.05,-0.78,0.18,0.008
20181119,-1.88,-0.39,2.31,0.21,1.23,0.008
20181120,-1.85,0.02,-0.54,-0.36,-0.31,0.008
20181121,0.51,0.95,-0.34,-0.35,0,0.008
20181123,-0.55,0.76,-0.61,0.29,-0.06,0.008
20181126,1.62,-0.69,-0.2,-0.41,-0.73,0.008
20181127,0.11,-1.06,0.26,0.6,0.13,0.008
20181128,2.42,0.31,-1.17,0.07,-0.93,0.008
20181129,-0.22,-0.21,-0.09,-0.49,0.04,0.008
20181130,0.78,-0.38,-0.43,0.24,-0.27,0.008
20181203,1.13,-0.1,-0.8,-0.24,-0.55,0.011
20181204,-3.45,-1.03,-0.2,-0.13,0.96,0.011
20181206,-0.16,-0.05,-1.05,0.14,-0.32,0.011
20181207,-2.36,0.27,1.34,-0.48,0.64,0.011
20181210,0.1,-0.36,-1.62,0.28,-0.31,0.011
20181211,-0.08,-0.15,-0.41,0.16,-0.07,0.011
20181212,0.68,0.5,-0.18,-0.23,-0.08,0.011
20181213,-0.26,-1.55,-0.19,0.2,0.04,0.011
20181214,-1.89,0.09,0.49,-0.2,0.62,0.011
20181217,-2.14,-0.12,1.08,0.27,0.18,0.011
20181218,-0.03,-0.04,-0.62,0.91,-0.47,0.011
20181219,-1.58,-0.6,0.03,-0.38,0.42,0.011
20181220,-1.62,-0.12,0.97,0.6,-0.08,0.011
20181221,-2.17,-0.53,0.77,0.12,0.64,0.011
20181224,-2.55,0.92,-0.49,-0.33,-0.34,0.011
20181226,5.06,-0.19,-1.01,-0.21,-1.08,0.011
20181227,0.78,-0.71,-0.13,-0.14,0.1,0.011
20181228,-0.03,0.75,0.26,-0.37,-0.06,0.011
20181231,0.9,-0.13,-0.46,-0.09,-0.13,0.011
20190102,0.23,0.74,1.12,-0.12,0.27,0.01
20190103,-2.45,0.48,1.2,-0.22,0.9,0.01
20190104,3.55,0.36,-0.7,-0.11,-0.59,0.01
20190107,0.94,0.87,-0.75,-0.72,-0.45,0.01
20190108,1.01,0.44,-0.63,0.31,-0.09,0.01
20190109,0.56,0.5,0.1,0.08,-0.2,0.01
20190110,0.42,0,-0.46,-0.06,-0.04,0.01
20190111,-0.01,0.2,0.21,0.24,0.25,0.01
20190114,-0.6,-0.46,0.94,0.25,0,0.01
20190115,1.06,-0.14,-0.89,-0.3,-0.57,0.01
20190116,0.28,0.26,0.93,-0.1,-0.23,0.01
20190117,0.75,0.09,-0.24,0.06,0,0.01
20190118,1.29,-0.29,0.12,0.19,-0.27,0.01
20190122,-1.53,-0.35,0.32,0.26,0.34,0.01
20190123,0.15,-0.41,-0.14,0.35,0.28,0.01
20190124,0.23,0.48,0,-0.15,-0.2,0.01
20190125,0.9,0.42,-0.35,-0.35,-0.57,0.01
20190128,-0.8,-0.08,0.63,0.29,0.16,0.01
20190129,-0.19,0.03,0.17,0.04,0.46,0.01
20190130,1.51,-0.35,-0.94,-0.24,-0.88,0.01
20190131,0.92,-0.06,-1.08,-0.37,-0.01,0.01
20190201,0.14,-0.16,0.43,-0.74,0.3,0.01
20190204,0.72,0.41,-0.46,0.19,-0.21,0.01
20190205,0.43,-0.12,-0.6,0.61,-0.33,0.01
20190206,-0.22,-0.03,0.07,-0.11,0.08,0.01
20190207,-0.93,-0.14,0.39,0.55,0.28,0.01
20190208,0.09,-0.08,-0.69,-0.34,-0.12,0.01
20190211,0.14,0.67,0.23,-0.09,-0.02,0.01
20190212,1.36,0.04,-0.17,-0.12,-0.28,0.01
20190213,0.28,0.06,0.07,0.12,0.22,0.01
20190214,-0.21,0.52,-0.58,0.41,-0.18,0.01
20190215,1.13,0.38,0.48,-0.21,0.01,0.01
20190219,0.19,0.31,0.29,0.03,0.22,0.01
20190220,0.19,0.28,0.54,0.02,-0.29,0.01
20190221,-0.37,-0.04,-0.23,0.58,0.12,0.01
20190222,0.65,0.39,-1.48,0.29,-0.61,0.01
20190225,0.15,-0.28,-0.18,-0.86,-0.51,0.01
20190226,-0.16,-0.68,-0.33,0.09,-0.15,0.01
20190227,0.09,0.15,-0.12,-0.68,-0.07,0.01
20190228,-0.31,-0.01,-0.24,0.27,0.16,0.01
20190301,0.72,0.25,-0.4,-0.36,-0.18,0.009
20190304,-0.52,-0.39,0.38,0.15,-0.08,0.009
20190305,-0.17,-0.32,-0.23,0.29,0,0.009
20190306,-0.84,-1.23,0.04,0.56,0.13,0.009
20190307,-0.82,-0.05,-0.33,-0.38,0.13,0.009
20190308,-0.22,0.06,-0.17,-0.11,-0.28,0.009
20190311,1.49,0.27,-0.52,-0.28,-0.47,0.009
20190312,0.25,-0.31,-0.08,-0.43,0.02,0.009
20190313,0.68,-0.32,0.07,-0.17,0.19,0.009
20190314,-0.1,-0.38,0.31,-0.15,-0.1,0.009
20190315,0.48,-0.24,-0.25,-0.03,-0.19,0.009
20190318,0.46,0.23,0.45,-0.08,-0.07,0.009
20190319,-0.09,-0.47,-0.91,0.01,-0.05,0.009
20190320,-0.39,-0.23,-1.04,-0.17,-0.23,0.009
20190321,1.11,0.17,-1.22,0.31,-0.34,0.009
20190322,-2.17,-1.57,-0.07,0.56,0.6,0.009
20190325,-0.05,0.6,-0.26,0.2,0.04,0.009
20190326,0.76,0.23,0.47,0.05,0.19,0.009
20190327,-0.5,0.16,0.49,0.76,0.09,0.009
20190328,0.4,0.35,0.02,-0.13,-0.08,0.009
